time,particle_in_left
0.0,600
0.9,599
1.9,598
3.0,598
4.0,598
5.0,597
5.9,597
6.9,596
7.9,596
8.9,595
9.9,595
10.9,594
11.9,593
12.9,594
13.9,594
14.9,595
15.9,594
16.9,595
17.9,595
18.9,595
19.9,596
20.9,596
21.9,596
22.9,595
23.9,595
24.9,594
25.9,594
26.9,594
27.9,594
28.9,593
29.9,593
30.9,594
31.9,593
32.9,593
34.0,593
35.0,593
36.0,593
37.0,593
38.0,593
39.0,591
40.0,591
41.0,591
42.0,590
43.0,589
44.0,589
45.0,589
46.0,590
47.0,591
48.0,590
49.0,591
50.0,589
51.0,589
52.0,589
53.0,589
54.0,589
55.0,590
56.0,589
57.0,589
58.0,590
59.0,591
60.0,591
61.0,591
62.0,590
63.0,589
64.0,589
65.0,588
66.0,588
67.0,588
68.0,587
69.0,587
70.0,587
71.0,587
72.0,586
73.0,586
74.0,585
75.0,586
76.0,586
77.0,586
78.0,586
79.0,586
80.0,585
81.0,584
82.0,584
83.0,584
84.0,584
85.0,584
86.0,584
87.0,584
88.0,584
89.0,584
90.0,584
91.0,585
92.0,585
93.0,586
94.0,586
95.0,586
96.0,585
97.0,586
98.0,587
99.0,587
100.0,587
101.0,586
102.0,587
103.0,587
104.0,588
105.0,588
106.0,589
107.0,589
108.0,589
109.0,589
110.0,589
111.0,589
112.0,590
113.0,587
114.0,587
115.0,586
116.0,587
117.0,587
118.0,587
119.0,586
120.0,586
121.0,586
122.0,586
123.0,586
124.0,586
125.0,586
126.0,586
127.0,587
128.0,588
129.0,588
130.0,587
131.0,588
132.0,587
133.0,586
134.0,586
135.0,586
136.0,585
137.0,585
138.0,586
139.0,587
140.0,587
141.0,586
142.0,586
143.0,585
144.0,584
145.0,582
146.0,582
147.0,581
148.0,582
149.0,582
150.0,582
151.0,582
152.0,582
153.0,580
154.0,580
155.0,581
156.0,580
157.0,580
158.0,580
159.0,580
160.0,580
161.0,580
162.0,580
163.0,580
164.0,579
165.0,581
166.0,580
167.0,581
168.0,581
169.0,581
170.0,580
171.0,580
172.0,580
173.0,581
174.0,580
175.0,580
176.0,580
177.0,580
178.0,580
179.0,580
180.0,579
181.0,580
182.0,580
183.0,578
184.0,578
185.0,578
186.0,578
187.0,579
188.0,579
189.0,578
190.0,577
191.0,577
192.0,578
193.0,579
194.0,578
195.0,578
196.0,579
197.0,579
198.0,578
199.0,576
200.0,576
201.0,576
202.0,576
203.0,577
204.0,577
205.0,577
206.0,577
207.0,579
208.0,580
209.0,580
210.0,580
211.0,580
212.0,580
213.0,580
214.0,581
215.0,582
216.0,582
217.0,582
218.0,580
219.0,579
220.0,578
221.0,578
222.0,578
223.0,578
224.0,577
225.0,578
226.0,579
227.0,579
228.0,578
229.0,577
230.0,577
231.0,577
232.0,577
233.0,577
234.0,577
235.0,577
236.0,576
237.0,576
238.0,576
239.0,576
240.0,576
241.0,576
242.0,576
243.0,577
244.0,577
245.0,577
246.0,577
247.0,575
248.0,574
249.0,573
250.0,574
251.0,576
252.0,577
253.0,577
254.0,577
255.0,576
256.0,576
257.0,576
258.0,576
259.0,576
260.0,577
261.0,577
262.0,575
263.0,574
264.0,574
265.0,573
266.0,573
267.0,574
268.0,574
269.0,574
270.0,574
271.0,574
272.0,573
273.0,570
274.0,569
275.0,569
276.0,570
277.0,570
278.0,569
279.0,567
280.0,567
281.0,568
282.0,567
283.0,567
284.0,566
285.0,564
285.9,564
286.9,564
287.9,565
288.9,566
289.9,566
290.9,566
291.9,566
292.9,566
293.9,566
294.9,566
295.9,566
296.9,566
297.9,566
298.9,565
299.9,565
300.9,565
301.9,565
302.9,565
303.9,565
304.9,565
305.9,565
306.9,565
307.9,565
308.9,565
309.9,565
310.9,566
311.9,566
312.9,566
313.9,566
314.9,564
315.9,564
316.9,562
317.9,562
318.9,563
319.9,564
320.9,564
321.9,564
322.9,563
323.9,562
324.9,562
325.9,562
326.9,562
327.9,562
328.9,560
329.9,560
330.9,560
331.9,560
332.9,560
333.9,559
334.9,560
335.9,560
336.9,560
337.9,561
338.9,561
339.9,561
340.9,562
341.9,563
342.9,564
343.9,564
344.9,564
345.9,564
346.9,564
347.9,564
348.9,564
349.9,564
350.9,564
351.9,564
352.9,563
353.9,562
354.9,562
355.9,562
356.9,562
357.9,562
358.9,562
359.9,563
360.9,563
361.9,563
362.9,562
363.9,562
364.9,561
365.9,560
366.9,560
367.9,560
368.9,560
369.9,561
370.9,562
371.9,562
372.9,563
373.9,564
374.9,565
375.9,564
376.9,563
377.9,564
378.9,564
379.9,564
380.9,564
381.9,564
382.9,566
383.9,566
384.9,566
385.9,565
386.9,563
387.9,560
388.9,559
389.9,559
390.9,558
391.9,558
